mjd,mag,magerr
52075.34539,19.487,0.014
52197.15402,19.564,0.012
52557.19187,19.484,0.013
52578.08795,19.444,0.012
52929.11818,19.444,0.012
52934.09833,19.399,0.013
52936.09426,19.462,0.012
53243.27947,19.371,0.02
53270.15836,19.387,0.018
53272.20827,19.4,0.026
53288.13548,19.428,0.013
53302.13115,19.413,0.022
53312.08668,19.42,0.015
53314.08787,19.39,0.012
53623.18246,19.51,0.014
53626.16867,19.535,0.023
53628.15353,19.508,0.037
53637.15515,19.553,0.016
53644.1476,19.535,0.017
53654.18222,19.503,0.018
53656.12981,19.539,0.039
53665.12108,19.575,0.025
53668.13272,19.517,0.013
53670.13757,19.515,0.015
53673.10555,19.559,0.013
53675.10244,19.546,0.013
53677.12347,19.521,0.015
53680.11014,19.546,0.014
53686.17684,19.521,0.055
53693.11204,19.589,0.028
53702.10771,19.526,0.018
53703.11686,19.613,0.07
53704.09537,19.546,0.015
53974.18333,19.541,0.013
53989.19141,19.529,0.019
53995.18067,19.526,0.013
53997.15904,19.487,0.02
54005.13089,19.488,0.013
54007.14369,19.496,0.016
54009.14076,19.51,0.018
54011.20525,19.514,0.025
54019.15545,19.459,0.017
54025.2043,19.49,0.015
54029.1346,19.494,0.014
54051.11117,19.456,0.024
54356.21276,19.395,0.019
54358.15782,19.375,0.015
54373.18991,19.457,0.022
54381.20261,19.37,0.017
54382.20001,19.42,0.018
54383.20575,19.393,0.024
54386.20276,19.434,0.016
54388.20704,19.434,0.017
54403.12082,19.426,0.016
54406.11464,19.424,0.016
54412.11758,19.468,0.014
54415.15513,19.464,0.015
