#Table1
plate,mjd,fiberid,[OIII] 5007 flux,[OIII] 5007 flux err,Hbeta flux,Hbeta flux err,Halpha flux,Halpha flux err,[NII] 6583 flux,[NII] 6583 flux err
2111,53467,372,90.28316,8.763405,73.25039,8.57451,175.6071,12.96151,183.9544,12.45023
2111,53467,380,58.93805,7.878466,65.82576,8.586015,136.6208,12.77046,135.8701,11.59498
2116,53854,60,209.1131,10.86544,124.4478,9.257589,476.8856,16.00148,486.6194,15.9632
2591,54140,353,584.3412,9.849647,963.6081,11.83093,3773.98,34.54334,1152.682,12.63496
2594,54177,424,117.381,7.039692,64.63816,6.556081,265.0763,9.724562,399.5326,10.1543
2595,54207,137,188.0637,12.04688,883.1303,15.75114,3514.546,36.42399,1512.794,22.4091
2595,54207,442,108.6237,6.217086,933.6631,12.1405,4170.417,35.0711,1305.83,14.30413
364,52000,311,1623.991,13.34248,184.8906,5.079394,777.0163,8.988854,859.6522,8.983708
366,52017,404,100.7862,8.669747,371.5432,9.262214,1753.893,18.68263,818.918,13.80486
367,51997,235,78.43416,3.692496,115.0233,3.346775,612.879,5.52207,497.0024,5.038947
371,52078,126,68.33032,7.524221,145.7529,6.857899,575.3583,9.972156,388.0303,9.560595
574,52355,203,290.1295,28.92386,249.4755,24.78455,1018.766,52.65537,2150.149,60.12544
574,52355,458,603.2176,9.77308,1152.151,11.23137,4758.372,37.98169,1714.037,14.98945
578,52339,337,173.1686,9.93855,519.1756,10.19003,2519.285,23.73338,1085.802,16.1226
579,52338,83,366.3863,16.83248,1414.765,22.59591,5959.053,56.91217,2818.417,35.08831
848,52669,76,185.2964,10.56838,1503.791,18.19884,5445.538,40.89663,3524.158,25.58188
1081,52531,42,123.3203,12.79883,63.71803,10.14959,185.8449,16.59362,249.4008,19.00932
1294,52753,41,434.2856,14.93886,760.5303,15.75493,3193.848,34.3646,2127.768,27.20053
1666,52991,353,89.37925,7.087763,46.08417,6.739186,175.3036,9.736,189.666,8.718737
1666,52991,367,38.35308,4.860427,60.05848,4.447674,231.2171,6.557222,146.5686,6.594036
1666,52991,549,194.7305,7.799783,850.7734,9.878998,4459.566,26.30235,1679.706,13.81221
1817,53851,443,78.50513,6.07132,39.41467,4.846779,138.4894,7.476263,203.9565,8.244824
2008,53473,584,77.06445,9.108285,88.41161,8.519684,205.0261,12.20563,129.2893,11.70129
2224,53815,484,117.8674,9.158916,69.882,7.398103,190.234,11.72325,166.8004,12.12974
2224,53815,607,136.7156,9.49727,96.11385,8.261292,237.8793,12.00551,140.4308,11.0451
2228,53818,179,219.0955,21.36355,126.6017,18.26703,227.23,26.99608,252.9011,24.04265
2587,54138,196,1704.267,15.27602,2891.352,22.1414,9654.487,66.15636,3322.639,17.91602
418,51817,493,225.0186,9.589763,894.1333,13.59681,3285.096,32.03737,1497.636,17.49272
597,52059,281,60.79649,6.679333,294.4742,7.135277,1228.359,12.99889,431.5605,9.171618
598,52316,66,3080.588,32.81079,3205.989,30.99526,13448.1,100.0445,3111.568,27.84476
600,52317,532,95.73929,7.555988,464.6168,8.678604,2202.99,23.74573,1139.376,14.34409
1191,52674,265,474.108,18.33411,2923.707,33.38526,11551.39,90.17013,5544.387,45.72739
1670,54553,6,237.6495,10.08489,252.3057,8.738088,1606.07,21.8181,1717.963,21.61934
2100,53713,314,133.5058,10.86272,60.168,8.801561,453.1498,14.74677,666.3714,15.75797
2101,53858,33,2677.809,23.2894,1503.864,14.46208,5579.736,39.33039,1178.371,11.09556
2101,53858,49,7253.709,55.41426,1060.672,19.8982,4263.61,44.9385,4399.159,41.57203
2102,54115,248,211.3408,8.683897,720.7388,10.60166,5146.56,40.60478,2770.666,24.86608
2102,54115,297,3972.619,36.45327,1664.396,17.13765,5655.418,42.46071,664.9387,9.324214
2102,54115,300,394.5013,19.28705,177.2161,17.47705,455.2635,29.61467,753.4088,30.58986
2354,53799,121,1052.956,18.40654,2926.318,31.44029,12125.8,101.6111,4845.217,38.11273
2651,54507,375,114.1799,9.007278,90.62287,7.386853,398.4968,15.18313,454.8624,16.86517
390,51900,374,2370.675,12.18217,439.3545,4.707479,1524.996,8.381107,1176.798,6.747539
390,51900,407,82.27954,3.270447,505.3761,4.637402,2517.918,11.96956,957.5192,5.976246
390,51900,625,43.62145,3.485669,25.34258,3.088897,87.25851,3.983799,121.3354,4.194317
392,51793,517,1796.376,20.85633,736.6923,11.97043,3303.951,30.03782,2371.508,22.74912
394,51913,18,33.14077,4.083726,30.62161,4.158335,70.38925,4.790779,99.2342,4.794061
394,51913,24,25.7137,3.758958,14.50603,2.892773,45.11355,3.353954,59.13488,4.12511
394,51913,46,1123.271,5.990735,162.1948,3.238928,574.8623,4.89552,818.2813,4.843376
394,51913,53,19.07298,2.042859,20.03215,2.150571,54.16376,2.635852,72.97021,2.552143
394,51913,177,199.4774,2.324216,434.6039,2.970049,1687.322,6.629254,639.6384,3.173944
394,51913,182,1086.751,6.091183,476.3092,3.616236,1410.309,6.608861,175.5866,2.124016
394,51913,239,30.93767,2.146808,21.10448,1.982137,53.98677,2.442753,64.37,2.584777
394,51913,299,40.31791,2.35097,30.52315,1.983529,129.983,2.695805,115.3744,2.782122
841,52375,106,373.0042,13.75465,434.1843,12.4641,1785.013,25.71947,1784.927,25.49698
844,52378,445,478.0686,13.82434,2424.668,25.00741,12356.05,90.06229,7663.177,51.30805
1065,52586,110,63.45787,5.213926,275.0466,5.765297,1248.714,12.75673,454.5852,8.157826
1673,53462,621,71.1114,5.540777,48.75182,5.268108,174.4296,7.777681,157.8564,7.32542
2117,54115,351,4433.455,34.14847,569.2051,10.84045,2661.47,27.18819,1745.936,21.51038
2425,54139,36,57.81615,6.276357,29.54529,5.674526,79.37659,8.021783,106.1553,8.150808
2644,54210,217,49.02039,6.444554,30.35538,5.847781,85.30647,8.812544,88.33646,8.613807
2646,54479,546,75.49704,6.408216,44.34372,5.462719,137.1607,9.063805,192.9624,9.826832
469,51913,130,1485.509,13.98191,386.1893,7.099979,1945.398,16.40048,2058.439,15.17499
473,51929,29,52.35191,6.195063,35.74885,5.803112,143.8768,8.199516,174.7336,7.834767
473,51929,80,48.20422,4.203691,42.46762,3.857178,109.5187,4.742746,117.0291,4.98629
473,51929,90,176.7543,6.990289,111.2034,6.246157,265.7087,8.458536,209.0114,7.83979
473,51929,114,130.5701,4.561821,35.5944,3.260782,112.7137,3.65704,63.12643,3.548274
473,51929,593,93.88316,5.273432,59.08947,3.866002,213.7847,5.650489,370.2016,7.073739
690,52261,539,732.6837,14.65803,868.057,13.55809,4306.438,37.66,2228.227,25.3915
1610,53144,178,118.0305,10.6608,79.87676,10.28835,212.322,15.76878,242.9499,15.35538
1843,53816,115,472.7678,7.946283,668.8507,8.2176,2406.694,18.37124,1033.228,9.958794
2089,53498,113,55.42394,3.971354,45.51037,3.125329,201.9977,4.702394,215.6467,5.201643
2089,53498,127,74.66541,5.984449,56.83561,5.778093,176.7421,9.312205,271.9353,9.51749
2089,53498,274,25.09711,3.377842,16.9884,3.024302,44.8114,3.688581,32.48919,3.614902
2289,53708,615,239.6462,11.06635,2123.262,23.5152,11383.15,89.22208,4015.806,34.70883
2290,53727,513,39.0416,6.265159,112.2152,6.516237,413.1414,11.34929,212.8029,10.33329
2292,53713,395,381.0535,12.93414,104.3579,9.244693,338.7103,15.14282,345.545,14.81748
2293,53730,354,109.7094,5.836342,73.4275,4.849841,221.9537,7.125864,351.4519,8.214744
2576,54086,631,149.7898,8.894814,52.08299,6.505534,221.9852,11.49286,264.4351,12.57058
2577,54086,293,87.16379,9.982759,76.85022,10.03007,205.3884,16.41823,269.6823,16.3082
624,52377,92,92.89081,4.570033,699.2009,7.938561,3163.79,23.8858,1321.042,10.91287
828,52317,370,166.8517,12.13291,283.0674,11.3897,1267.261,22.3632,1082.414,21.7666
1397,53119,35,223.8257,11.32095,726.2488,12.99231,3684.814,34.31897,1663.784,21.72926
1397,53119,149,294.8192,16.97692,130.5457,15.53764,413.4928,26.05527,643.7435,26.23733
1665,52976,159,63.30166,7.217865,100.6122,7.621931,207.4299,10.03957,196.1835,10.10139
1665,52976,163,37.13248,3.933345,31.96688,3.852888,88.71162,4.860401,91.36058,4.813654
1665,52976,262,240.483,9.235972,395.9485,8.709839,1467.31,14.95297,1365.508,15.26297
1665,52976,332,75.94299,5.296381,116.3211,5.099522,427.9624,8.515503,450.9983,9.112658
1665,52976,395,49.38637,3.910596,29.8757,3.267136,113.8996,4.543642,122.4662,5.00219
1665,52976,397,73.94783,3.935688,91.67425,3.496616,536.8188,6.566541,403.2687,6.573775
1665,52976,463,47.51338,6.014441,104.6673,5.889527,456.9527,9.333605,285.7814,9.025135
1665,52976,501,44.89263,5.753958,79.70309,5.594975,197.6471,7.744356,146.7658,7.892333
1665,52976,549,40.61372,3.279153,21.04591,3.001461,62.98951,3.671225,62.81833,3.640547
1665,52976,559,87.45499,4.973968,38.51067,4.266788,188.103,6.299037,316.6233,7.05878
1665,52976,574,41.38725,3.848918,41.11842,3.426552,111.9505,3.547857,91.13499,3.856897
1666,52991,11,102.8358,8.044607,162.1257,7.924963,555.7126,12.36903,404.612,12.06618
1666,52991,81,110.6979,4.200375,658.7897,6.298617,2933.444,16.13248,1293.396,8.086383
1666,52991,95,87.94145,5.507074,44.57708,4.80083,164.4708,6.64181,200.7354,6.818389
2016,53799,590,713.5428,13.99585,1246.748,15.66937,5085.056,41.96238,1440.984,17.36072
2167,53889,71,1217.125,22.91661,5218.981,47.87026,18414.09,136.8324,7463.471,50.63567
2597,54231,20,5955.773,61.29473,5045.405,46.65491,20515.44,167.3524,3280.528,33.42966
2911,54631,344,1735.613,8.484062,1122.651,5.741568,4133.963,16.99168,990.6851,4.332562
894,52615,483,297.0784,7.264876,985.0577,11.84476,3830.594,33.77449,1592.368,13.97022
895,52581,44,83.02628,7.226422,48.51385,6.569545,127.5425,9.351295,96.91234,8.585531
895,52581,392,44.78548,8.140673,45.76555,6.178006,117.2329,8.996938,152.6894,10.86377
895,52581,415,1302.814,14.36515,417.2638,7.758028,1502.731,13.87929,1001.818,10.94353
895,52581,423,65.63897,6.985142,66.6058,7.247087,155.6277,10.31573,187.5968,10.01271
898,52606,338,58.36701,8.050517,37.60159,6.462433,106.0081,9.076328,110.5363,9.469048
1052,52466,280,201.1432,9.649714,106.6309,8.183837,432.9888,13.4877,737.5605,15.16398
1052,52466,318,208.303,15.19001,129.9215,14.59981,350.3691,22.62446,427.3832,21.68153
1052,52466,560,150.7026,7.018599,207.0633,6.765995,988.1898,13.08463,435.4819,9.843412
1678,53433,7,460.6145,11.16153,1765.048,16.86514,13217.05,83.03453,7286.8,43.97903
1679,53149,350,6923.906,51.56449,2027.236,23.18591,9007.248,67.09882,5358.045,42.39027
2601,54144,470,89.25125,7.093899,22.78214,3.475621,47.67188,4.332805,42.46384,5.756762
2605,54484,242,108.0444,10.69452,77.4583,10.45497,113.1519,13.52438,120.3634,13.80293
2920,54562,156,157.364,2.707805,452.9144,3.745595,2716.665,14.24396,1044.788,5.922834
305,51613,552,206.196,7.252104,88.78378,4.601058,349.4867,7.064286,510.868,8.353708
523,52026,476,309.1106,11.033,137.2274,7.664932,503.8937,14.22962,414.9007,14.35118
524,52027,148,96.38772,7.185013,383.0048,8.282586,1387.184,15.54495,694.0907,11.69356
525,52295,155,110.3093,9.077731,111.0155,6.749979,519.777,11.51987,493.024,12.38443
526,52312,413,137.0189,6.73704,672.5318,9.084181,3259.652,32.3522,1183.314,13.51023
527,52342,24,259.5525,9.704054,1035.821,13.81405,4047.246,36.36744,2067.57,19.29077
528,52022,137,797.8801,8.640388,89.22804,4.921958,556.9174,8.936457,1051.947,9.987796
528,52022,346,210.1498,4.359606,663.3504,6.083258,2765.524,14.74116,1449.795,8.544809
528,52022,377,105.352,5.660788,39.83431,4.848484,134.2088,6.868219,180.0612,6.978769
528,52022,428,1468.227,11.88882,461.1592,7.117423,1944.377,14.02754,2299.643,14.25862
528,52022,443,258.7959,8.354719,151.3136,7.884582,532.2633,12.75326,690.7801,12.43176
986,52443,29,456.4222,8.776516,857.3526,10.21475,3249.227,25.0313,1259.511,12.38062
1222,52763,341,2183.46,25.85782,732.654,15.69523,3909.164,37.24656,3456.265,31.73715
1463,53063,464,764.3829,21.21968,434.6566,15.31529,1572.383,29.9083,714.8591,24.39242
1940,53383,240,129.744,12.75475,98.65329,11.24048,229.9612,17.75412,283.5407,18.55872
2608,54474,171,90.90462,9.573949,77.39585,8.617682,216.7457,13.41823,262.5958,14.58258
2608,54474,431,4479.838,25.3591,390.6733,6.88912,1518.775,13.23183,2631.448,16.00771
2608,54474,520,73.50528,5.382799,32.34181,4.172237,73.85476,5.470798,82.20657,5.968642
2608,54474,537,71.02692,5.536121,72.81252,5.445115,188.7143,7.964718,188.4868,7.868378
2608,54474,596,126.5477,7.960606,62.01491,6.976628,169.6946,10.7652,178.4844,10.4287
2609,54476,377,174.8474,13.57105,104.2096,12.25111,304.2175,20.56088,462.9719,21.49119
2609,54476,384,264.012,10.09467,112.2537,8.611627,325.2346,13.8648,467.2952,14.1643
2609,54476,394,80.82633,5.683473,54.47095,5.110553,255.1709,7.988343,282.4006,8.528765
2609,54476,399,116.8972,5.067399,58.54771,4.305954,220.3344,7.2946,305.0063,7.624836
2609,54476,413,103.0234,4.721145,255.9494,5.159211,1351.254,13.12348,806.5703,9.357016
2609,54476,434,41.76096,4.174642,77.88712,3.884274,312.2826,7.413342,195.756,6.61952
2609,54476,555,101.2242,5.168997,64.67158,4.012856,198.5811,7.109439,200.3587,7.43365
2609,54476,594,226.744,4.260685,164.6069,4.607106,546.0482,6.647951,110.3457,2.820935
2878,54465,121,68.40302,3.779442,64.6038,3.646281,203.0081,4.487823,214.1346,4.330158
2878,54465,354,33.92199,3.269411,56.84223,3.040776,171.5769,3.730943,114.2342,4.025399
2878,54465,380,68.39828,4.303103,52.22805,3.450207,114.1185,4.070751,37.00938,3.861378
2880,54509,108,1912.046,22.82014,1983.003,21.03374,7827.047,64.02821,2071.592,18.46591
2880,54509,313,118.8471,10.59201,74.31921,8.058222,187.6475,11.87127,163.4656,13.34542
2880,54509,442,374.064,15.08777,360.9016,12.28932,1634.89,25.17915,2166.352,27.35969
278,51900,469,6074.062,54.65727,3250.791,29.74171,10285.94,80.75294,1743.394,16.68957
280,51612,358,577.4553,9.778317,1254.602,12.96628,4352.196,30.3789,2210.942,15.41041
280,51612,396,114.4921,8.387469,68.5118,8.140857,215.8928,11.84324,200.4113,11.1158
487,51943,245,35.62173,2.465094,55.51481,2.418547,174.6842,2.806466,104.6454,2.746056
488,51914,370,31.79686,4.288052,57.48275,3.783696,331.4339,6.487051,142.6109,5.696779
488,51914,564,218.7324,4.369924,505.8112,5.494184,1826.617,12.13894,816.3755,6.414403
488,51914,576,91.87317,4.829239,124.5139,4.490609,532.1008,8.018611,387.5037,7.501867
489,51930,50,1510.62,18.6672,910.3036,12.56204,3310.609,27.98002,882.5734,13.04539
730,52466,308,67.93123,7.907161,33.7346,6.569688,110.757,9.720675,140.0918,10.3972
951,52398,511,577.459,18.03613,657.1082,15.63102,2320.722,32.10544,1377.294,25.88848
952,52409,26,209.1584,15.20731,141.8693,12.55515,357.765,19.9493,214.5067,19.26856
1226,52734,324,182.3117,17.78973,166.2574,18.45178,594.1346,31.15874,564.3146,28.65332
1229,52723,476,31.9018,5.324211,103.7708,4.986674,488.7152,9.106459,173.7966,7.732791
2364,53737,170,110.8449,4.58262,310.544,5.209929,1349.172,11.69213,809.4822,8.472859
2365,53739,89,317.4641,13.79006,910.9386,16.57566,5090.066,46.75567,3208.31,35.67334
2365,53739,157,2246.079,22.57477,609.4386,10.66717,2984.619,28.87967,2356.225,23.95648
2655,54184,360,138.9392,10.05991,134.2236,8.895057,493.7185,15.77748,450.2533,15.65455
2656,54484,377,43.85452,4.821239,207.4138,5.138577,1205.747,11.55123,460.9834,8.241459
2656,54484,463,21.6608,4.134866,25.08844,3.998054,72.8876,5.43881,51.15797,5.258266
2657,54502,168,58.03428,5.41664,20.74319,3.865094,84.8021,5.877029,137.0748,7.019921
2657,54502,242,54.47893,7.91915,73.26811,8.209137,197.618,13.22892,189.5051,12.86695
2657,54502,566,58.46272,5.188779,28.28861,4.400564,121.3435,7.489728,165.7939,7.867372
2659,54498,62,97.21776,5.495128,238.2069,5.577919,1254.072,12.4472,668.8825,9.352262
405,51816,35,595.333,15.11789,2186.901,25.25665,9309.233,75.69342,4085.684,33.67357
405,51816,603,365.2667,16.85683,133.6285,14.75547,517.0765,25.36994,865.1218,25.3331
607,52368,418,79.64045,7.102148,527.2005,9.412522,2903.611,20.13856,2446.315,16.0167
607,52368,609,2058.328,15.76584,1521.05,12.63926,6011.126,34.35493,2319.284,14.66649
835,52326,130,121.3114,10.09718,56.37286,9.20574,214.6009,13.96183,436.0734,14.77463
1314,53050,421,325.3937,6.167125,406.2341,5.953389,1554.187,10.76972,532.0678,6.662009
1314,53050,546,116.8366,5.770819,42.33076,4.463215,169.6236,7.207592,345.5409,8.500565
1315,52791,131,251.0829,21.70028,168.5211,20.0862,398.3948,32.90181,595.3766,33.92716
1316,52790,336,201.4387,12.18236,103.3108,10.25643,339.6618,16.19833,293.2003,15.66527
1948,53388,132,14971.08,110.4852,3191.568,26.70438,10434.5,84.9646,575.1768,8.249805
1949,53433,9,398.7131,18.18488,237.3577,16.31523,822.1804,27.67074,1185.772,28.51062
2355,53792,486,74.28274,9.279567,70.29488,9.256694,164.4087,13.25747,185.7659,12.83964
2355,53792,501,1826.258,19.39817,1107.254,13.81329,5518.173,39.50558,3339.275,25.93456
2355,53792,574,12757.19,80.28014,4823.73,36.66715,20424.81,121.231,3189.435,21.5515
2358,53797,234,506.8737,13.68049,1787.554,19.34967,7713.12,59.63843,4048.196,29.32465
2358,53797,460,1585.921,21.61908,293.4624,9.339648,1090.344,17.75552,716.5037,14.99033
2744,54272,312,87.3298,8.842058,137.9081,9.219748,788.512,17.80889,571.8261,16.29942
2744,54272,552,259.3684,8.357947,139.9934,6.006478,503.4296,10.278,432.9614,10.19122
2746,54232,84,130.9417,9.821697,60.57459,7.559832,174.9685,12.01507,265.3135,14.26484
2747,54233,205,106.757,10.89982,63.33828,8.972003,226.066,16.01893,352.0308,17.43773
2747,54233,336,134.741,8.446086,38.00314,6.407138,234.9949,10.03462,373.7536,10.63363
2749,54241,102,111.6639,7.666151,68.12729,7.494981,209.836,11.21508,201.1858,10.1056
461,51910,598,100.5197,9.937743,82.61692,9.86493,164.519,13.9431,145.2044,12.98307
461,51910,625,217.1909,15.65914,100.35,13.60972,308.2364,22.48995,463.5652,23.78955
462,51909,517,221.805,12.46953,80.68275,9.761745,398.467,17.08699,544.3401,18.07304
465,51910,213,107.8025,5.028214,645.3887,7.371283,2591.967,17.61464,1103.613,9.833292
465,51910,223,2055.715,14.72725,762.2938,7.582889,2218.36,13.58418,205.7148,3.451392
468,51912,14,339.3191,7.277126,238.1575,5.450875,913.3909,9.496537,364.3384,6.336511
468,51912,348,67.42323,5.246104,59.88015,4.454756,231.7584,7.109256,316.506,7.899975
468,51912,523,397.0413,9.734199,53.31718,6.877068,339.9698,12.17519,579.7974,12.46778
708,52175,305,123.6174,5.733252,75.47269,5.717903,204.149,7.991678,254.5491,7.599491
710,52203,247,266.7648,18.85644,159.6467,15.4537,627.265,27.59264,1293.288,32.40283
1362,53050,378,115.0336,4.033701,214.2984,4.172729,781.4837,7.725008,322.2542,5.217882
1362,53050,456,50.25264,3.374664,353.5037,4.799489,1609.377,11.39604,656.5298,6.508108
1362,53050,556,364.2648,6.911492,270.5744,6.118023,1038.366,10.83482,791.9855,9.347922
1628,53474,384,88.74886,9.043319,52.34406,8.743365,169.2189,14.01536,217.4963,13.44012
2032,53815,292,560.5691,12.78713,1035.339,14.07207,4496.923,38.27449,1445.838,17.76845
2033,53476,369,146.4873,12.44784,65.13222,10.03918,182.1016,15.64808,190.237,16.00034
2266,53679,412,1148.948,10.2184,521.15,5.849832,1884.265,12.39444,218.7063,3.53094
2266,53679,422,3702.728,29.59062,760.3801,13.68218,4460.755,36.91713,4816.731,35.02584
2483,53852,43,1579.43,18.39284,350.8303,9.231826,1155.597,13.02389,571.5577,9.364457
2483,53852,604,92.52153,9.530916,56.26249,8.564216,134.8918,12.46239,176.9046,12.79747
2484,54144,336,53.59435,8.470871,209.088,7.97067,890.1371,15.56141,420.8114,13.12358
2485,54176,221,740.4637,10.47734,1440.234,13.42301,5141.542,35.92513,1676.39,12.78123
2485,54176,455,59.41792,5.758434,35.97429,4.830225,104.926,7.150793,83.23093,7.167124
2485,54176,534,81.149,6.933506,30.49152,4.459037,87.73166,6.1934,127.1413,8.044055
2487,53852,62,180.923,12.82001,97.50036,11.2625,255.4175,17.52959,311.3887,17.65981
2764,54535,459,96.38228,8.200092,46.25677,6.14552,169.3528,10.35853,166.5213,11.04047
2767,54243,377,92.30627,12.89907,57.44889,10.10885,120.4376,14.26497,176.0915,17.31778
355,51788,30,100.043,7.734797,103.394,6.983674,337.1686,10.84846,291.1169,10.31517
587,52026,425,78.46451,7.502493,39.84615,6.704602,108.7614,9.664456,104.7426,9.234137
587,52026,517,29.53423,3.518552,38.35725,4.011939,120.0485,5.572138,195.5488,5.122423
860,52319,158,93.51083,9.730795,74.23348,8.233102,148.1751,11.85394,67.37181,11.57477
860,52319,207,56.41619,4.560118,37.83551,4.45901,117.2535,6.299795,178.8297,6.219587
864,52320,541,299.7671,14.78054,212.8167,11.90911,898.6118,23.30167,1274.404,26.44567
864,52320,628,110.7001,10.10508,209.3927,8.333631,756.8812,15.66252,668.6763,17.19947
1059,52618,309,1743.406,19.47846,1661.83,17.23048,5878.867,45.81894,1554.088,14.532
1059,52618,598,250.9652,8.880115,94.06337,7.122569,329.6029,10.92229,257.9494,9.687901
1309,52762,439,57.58485,5.075794,175.0838,4.96727,1039.214,12.78912,423.887,10.06729
1309,52762,493,1149.665,12.16531,710.8599,8.839412,2975.852,20.57151,2133.057,15.20225
1313,52790,380,99.03506,9.9227,57.94275,9.100212,204.099,13.97119,210.8851,13.63767
1314,53050,55,19.41157,3.306921,22.62053,2.95796,62.63954,3.418808,48.09674,3.859233
1314,53050,283,71.68056,4.613948,22.47028,3.952294,116.4147,5.45572,153.5428,5.507944
1729,53858,422,508.5398,7.684999,942.5247,9.618112,4642.195,31.29281,1545.731,12.63628
1729,53858,564,47.19717,4.809298,58.07232,4.047652,231.8428,6.387797,145.9844,6.557826
2524,54568,549,83.87096,9.532207,54.19944,7.236082,121.868,10.86011,195.3548,13.83498
2526,54582,186,77.81313,6.742533,25.29226,4.849104,119.505,7.215733,258.7378,8.711911
2526,54582,401,349.6696,6.117557,301.9255,5.171391,1090.838,10.17827,310.3551,5.8255
346,51693,475,108.3453,6.690306,63.04348,6.55344,168.1538,8.990896,242.2146,8.756283
349,51699,58,44.03122,2.895383,212.1412,3.265459,1010.639,5.867961,412.7115,3.994951
349,51699,65,13.83089,2.492117,12.34777,1.826411,26.74763,2.294482,40.25853,2.9269
349,51699,187,937.1672,6.487122,599.9487,4.775586,1766.253,10.78336,326.4864,2.819829
349,51699,230,213.4467,3.227259,245.9491,3.063022,728.4457,5.537152,173.3242,2.290783
349,51699,305,221.8488,4.399277,1058.584,7.380199,5413.769,29.58297,1898.237,10.37977
349,51699,402,99.86073,2.35027,278.9562,2.934425,956.2443,5.600202,329.3289,2.807112
349,51699,465,150.873,2.855905,222.1254,2.835821,992.0758,5.739892,411.0791,3.612895
349,51699,556,172.4489,3.894795,917.3574,6.453292,3543.482,15.32326,1495.045,7.62639
349,51699,587,66.44958,2.711194,318.4162,3.585345,1335.11,7.157551,755.6008,4.63797
569,52264,247,47.88549,3.632066,382.542,5.033506,1360.418,8.805631,860.1495,6.136675
571,52286,265,60.33906,6.261205,38.31512,5.376219,132.6429,7.527198,139.7782,7.804549
571,52286,496,41.82707,5.750039,31.88369,5.397388,82.85461,7.211619,67.62585,6.965138
571,52286,597,2969.591,24.72268,4203.848,28.08344,16946.53,103.8517,8326.551,39.74136
572,52289,533,197.7986,7.789933,133.17,6.825459,356.8911,10.80243,242.5154,9.877389
1047,52733,64,4662.001,45.89203,2019.77,22.90365,6348.095,57.30968,766.4092,11.5314
1047,52733,349,52.71618,9.253469,108.1283,8.183214,539.2323,16.47119,281.6805,16.29306
1323,52797,12,139.7457,9.952398,592.6645,11.91375,2560.302,28.25616,1009.93,16.91698
1323,52797,202,156.7305,11.53851,369.9953,11.59493,2021.783,26.88918,1403.095,22.87877
1324,53088,404,518.0255,13.1363,208.1822,9.073393,802.7048,17.9275,1283.605,20.33941
1324,53088,456,420.3771,17.11411,237.7278,12.8496,808.337,24.11364,1892.011,32.17765
1749,53357,141,1497.241,13.60674,930.8931,9.209734,3395.386,22.87962,927.0194,9.233837
1749,53357,173,1908.705,14.15564,1122.382,8.843272,3673.269,22.30405,577.8633,4.923454
1749,53357,307,45.7244,4.629685,50.10802,3.699046,144.1417,6.250373,106.1722,6.783274
1749,53357,352,39.61546,3.903299,23.39247,2.625319,51.15091,3.172815,86.50161,4.021763
1749,53357,504,66.67204,4.432194,48.74186,3.915164,161.1745,5.904143,194.1384,5.975096
1985,53431,430,3540.069,32.52566,1359.237,14.14422,4496.629,33.83167,487.6565,6.994235
1985,53431,451,124.4137,10.89709,81.13014,11.10102,206.4749,17.59041,197.6155,15.23564
1987,53765,131,212.0179,16.22747,914.5603,18.12823,3774.398,39.88626,2802.572,32.3799
1987,53765,373,184.1254,13.66364,77.00825,11.01353,250.1758,18.25682,313.8684,19.1542
1987,53765,461,3338.761,31.16627,2546.273,23.80511,8981.012,75.30372,1789.353,15.85407
1988,53469,120,285.5993,12.15562,512.2378,10.8709,3669.238,33.71463,3091.287,27.40485
2139,53878,330,8954.299,336.4544,371.9298,8.265826,1419.468,16.06351,1863.039,17.11659
2432,54052,327,299.8898,5.288089,489.765,5.665963,1707.561,11.47388,457.9409,4.885387
2432,54052,377,132.2305,3.446681,647.1654,5.912889,3126.749,17.62225,1385.129,8.364407
2434,53826,143,66.21374,8.13273,45.63389,6.952193,245.9077,11.97151,262.6497,12.20092
2434,53826,146,175.4861,9.932523,103.3544,9.676875,321.6004,16.21832,682.0347,17.00184
358,51818,364,1747.754,16.27293,1590.645,14.55834,6157.592,40.9006,1430.799,11.60389
358,51818,372,116.4139,8.2058,62.83074,6.525449,176.267,9.942819,181.4158,10.78785
359,51821,186,106.3675,7.587248,36.77844,6.611171,117.4972,8.851816,95.3795,8.153082
581,52356,28,492.7523,7.805003,324.2289,5.906213,1213.585,11.64185,1171.253,11.02209
581,52356,40,208.4687,6.150431,68.49149,4.881441,278.3849,7.347785,346.3397,7.808549
581,52356,59,1194.544,11.91249,703.7169,8.5814,2329.86,16.59183,1132.153,9.984035
581,52356,157,66.95015,6.949616,93.7262,6.014457,646.7882,11.27373,361.9231,10.75793
581,52356,242,463.7224,7.257617,359.2458,6.364434,1212.021,10.66158,434.6016,6.298012
581,52356,262,97.22199,4.726914,704.9414,7.374363,3684.828,22.02853,1830.766,11.70367
581,52356,546,184.2695,5.614563,47.16758,4.046875,116.3211,5.36094,146.4065,5.741226
1327,52781,215,269.316,17.36062,203.2472,15.13107,754.3617,28.1583,522.283,26.14707
1725,54266,514,3823.379,27.58351,811.241,10.16074,3142.346,24.02203,2141.056,16.5736
1872,53386,358,106.9262,7.678758,38.71738,6.814003,207.8772,11.38772,318.041,11.24036
1876,54464,152,70.05108,5.374682,33.80684,4.978065,159.3696,6.761344,202.9392,6.735823
1876,54464,452,56.02723,4.856888,142.3694,4.736556,586.373,8.341527,383.2055,7.901463
1876,54464,586,13021.97,62.8258,4448.987,25.96056,14187.44,65.54818,1680.922,13.41255
