#Table1
plate,mjd,fiberid,[OIII] 5007 flux,[OIII] 5007 flux err,Hbeta flux,Hbeta flux err,Halpha flux,Halpha flux err,[NII] 6583 flux,[NII] 6583 flux err
1774,53759,162,101.4318,9.75652,263.4741,10.06093,1088.59,20.17524,641.1528,17.83616
1776,53858,632,4133.134,31.57422,3754.218,28.37833,16633.67,98.18549,6907.328,39.56104
1778,53883,182,226.6759,13.30673,93.03514,11.21196,289.9238,18.93317,356.4591,18.14588
1778,53883,384,130.6564,13.57522,85.61443,13.95387,263.0497,22.51579,436.6714,22.06203
1991,53446,500,199.067,10.8228,393.5485,10.01281,3194.226,32.76357,2337.173,26.79172
1991,53446,584,18090.39,126.3938,6055.725,48.2534,18303.38,117.55,1406.264,13.22645
1991,53446,591,195.194,13.40344,161.5564,13.02263,467.7974,20.87903,324.6467,18.45731
1992,53466,329,868.834,15.6463,2152.774,24.95507,7710.506,64.97311,2483.99,22.24335
1993,53762,120,106.3101,12.99183,104.8214,13.01318,242.8895,20.0878,235.4353,19.52655
1994,53845,68,173.9918,10.21293,102.1133,10.91184,341.7569,17.18285,445.0172,15.32604
2170,53875,335,162.2824,13.8099,73.72364,11.43146,192.5704,17.45248,206.2247,18.08258
2171,53557,414,517.3818,14.51531,656.2391,13.61572,2763.628,31.42861,1363.364,22.34484
2172,54230,164,1908.021,16.0579,1389.635,12.91928,4664.218,26.9296,2376.142,15.27851
2172,54230,278,86.89826,5.809831,364.9189,6.318098,1520.266,13.62236,890.7112,9.82767
2172,54230,577,437.4836,6.318165,736.7997,7.44241,3255.661,19.65213,999.2396,7.447646
2173,53874,192,162.5672,8.245229,359.1968,8.282338,1612.713,17.41266,749.6603,13.66073
2173,53874,202,65.45517,6.591963,42.93926,6.13694,130.0619,9.104556,182.8683,9.376645
2173,53874,401,98.29977,5.648207,58.2608,5.558573,164.4347,8.547458,186.419,7.898178
2173,53874,532,37.99915,3.637716,13.37025,2.110097,23.5131,2.183218,32.91954,2.946197
2519,54570,137,2325.545,30.18482,1094.148,18.14066,4913.315,47.48413,3903.085,38.62208
2520,54584,121,29.51728,3.020396,37.75023,2.674986,92.01307,3.461486,93.59654,3.700943
2520,54584,378,162.7762,3.310022,31.01513,2.312289,161.4671,3.35391,161.9441,3.279806
2520,54584,501,41.79163,2.689645,36.12992,2.287107,149.1658,3.070606,116.943,3.070593
2520,54584,550,43.00637,2.930435,49.00265,2.728436,268.0405,4.32071,288.0701,4.455398
2520,54584,622,84.86417,3.283915,528.2588,4.707238,2329.997,11.10184,1132.783,6.280765
2520,54584,631,78.40385,3.9727,34.39631,3.565499,117.0103,4.839863,206.4456,5.043667
2521,54538,521,189.8469,13.9199,92.60195,11.46894,302.042,20.42016,342.1635,21.16764
2521,54538,614,76.10181,5.216995,383.0296,6.597858,1722.139,15.09132,729.2296,9.175017
513,51989,378,582.5078,7.232353,1376.924,10.50892,5056.438,26.81072,2650.44,13.57479
513,51989,603,107.5646,4.944746,702.7158,8.010198,3212.755,21.99816,1216.78,10.39292
516,52017,119,417.623,11.99723,426.3409,10.47116,3026.863,28.23943,2409.254,24.68071
