time,cont,conterr
-2.0,0.0041407867494873,0.006
-1.11499000682511,-2.0,0.005
-1.0467468745116546,-1.3374741200828013,0.005
-0.6911040601931457,-0.2194616977225705,0.006
-0.6910160090289486,-0.2277432712215159,0.006
-0.6887306295582027,-0.2857142857142816,0.006
-0.6263520885717462,-0.0289855072463827,0.006
-0.6155550589358099,-0.0786749482401734,0.006
-0.5831760974175095,-0.2194616977225705,0.006
-0.5569166533833123,-0.2360248447204909,0.006
-0.5520974913047794,-0.2857142857142816,0.007
-0.550897338469891,-0.3602484472049674,0.005
-0.2347454724922453,-1.0144927536231914,0.005
-0.233489397249063,-1.022774327122137,0.005
-0.227515935612248,-1.0973084886128228,0.005
-0.2263000444303278,-1.0724637681159277,0.006
-0.2024372110488281,-1.2049689440993792,0.006
-0.1940757128320949,-1.3623188405796969,0.005
-0.1940106099215091,-1.1801242236024838,0.006
0.1939520600522679,1.1138716356107723,0.006
0.1951999599050418,0.997929606625271,0.006
0.1963650755240484,1.0641821946169818,0.006
0.1987307714807276,1.0144927536231916,0.006
0.2250924018906879,1.0144927536231916,0.006
0.2262988808061643,0.8157349896480288,0.006
0.2274892106837285,0.981366459627321,0.006
0.2598303249959102,0.9316770186335304,0.006
0.2694262195012249,0.8654244306418195,0.006
0.6286502510963761,1.6273291925465705,0.015
0.6311118842026731,1.5113871635610685,0.006
0.647886229004766,1.7515527950310463,0.006
0.6502380851590961,1.6273291925465705,0.006
0.6575004352797942,1.494824016563148,0.008
0.6598385020675055,1.387163561076592,0.013
0.6622999682555744,1.4534161490683322,0.006
0.6670447916821041,1.27122153209109,0.007
0.6789999323759077,1.0641821946169818,0.01
0.6814030396299651,1.138716356107668,0.006
0.6873926370953405,1.0227743271221663,0.006
1.0441852093554391,1.5279503105590182,0.006
1.0514061997822113,1.5362318840579636,0.006
1.0561654093980826,1.5362318840579636,0.007
1.057358933538043,1.5527950310559135,0.006
1.0585489343825647,1.5445134575569388,0.007
1.065755728354382,1.494824016563148,0.009
1.0706087700288882,1.5693581780538342,0.007
1.0718147253735313,1.5527950310559135,0.006
1.0729672836985509,1.4451345755693574,0.006
1.0742154237214332,1.5362318840579636,0.006
1.0766208402110615,1.5196687370600437,0.006
1.0802461263004148,1.5113871635610685,0.007
1.0933796592166685,1.196687370600404,0.008
1.1005662068485709,1.7018633540372563,0.009
1.1017842487537917,2.0,0.009
1.1029414555712096,1.378881987577646,0.008
1.103062707850829,1.9006211180124184,0.008
1.1042529188441854,1.7681159420289965,0.008
