line,position
[FeVII],3758.92
[FeV],3839.27
[FeV],3891.28
[FeV],3911.33
[FeV],4071.24
[FeV],4180.6
[FeV],4227.19
[ArXIV],4412.3
FeXI,4567.4697
FeIX,4588.5537
[FeIII],4658.05
[FeVII],4698.24
[ArIV],4711.26
[ArIV],4740.12
[FeVII],4893.37
[FeIV],4903.07
[FeVII],4942.48
