line,position
[OII],3726.032
[OII],3728.815
[NeIII],3868.76
CrII194,4003.328107
NiII12,4015.504925
TiII87,4053.814908
CrII19,4063.942258
[SII]1F,4068.621034
[SII]1F,4076.219045
NIII,4097.33
NIII,4103.43
TiII105,4163.63614
TiII19,4395.025307
OII,4414.899
TiII93,4421.948211
TiII19,4443.802449
TiII19,4450.490685
NIII1,4510.91
CrII44,4616.636803
NIII,4640.64
NII5,4643.09
CIII,4647.42
CIII,4650.25
CIII,4651.47
CrII,4697.595379
CrII30,4824.131846
CrII30,4876.477958
TiII114,4911.19874
