#Table1
plate,mjd,fiberid,[OIII]/Hbeta,Hbeta/Hgamma,[OIII]/Hgamma,h_beta_eqw,h_beta_flux,redshift,E(B-V)
2755,54507,376,0.7089028,1.660927,1.177436,-7.840153,767.4379,0.08377949,0.02384765
367,51997,598,1.050813,1.178051,1.237911,-0.5627213,44.56004,0.0614777,0.02805919
450,51908,575,0.341556,1.89412,0.6469482,-22.56711,1109.689,0.1112474,0.0229581
592,52025,240,0.4835957,1.837952,0.8888258,-0.3664747,39.74822,0.05100438,0.04467341
952,52409,232,1.585048,1.0953,1.736103,-0.3591314,35.91306,0.0597778,0.01568531
2305,54414,115,0.03917255,0.6555409,0.02567921,-3.19212,523.0571,0.1933094,0.1242009
2481,54086,319,3.893912,0.1466813,0.5711639,-0.1523006,6.356665,0.06062174,0.03155204
2603,54479,90,1.083936,1.60604,1.740844,-0.3709791,49.93454,0.05387033,0.02537296
542,51993,55,18.68541,0.08951077,1.672545,-0.05649709,0.7176209,0.06470897,0.04999544
644,52173,541,0.9640221,1.215455,1.171725,-0.8762947,92.86768,0.05894792,0.03713184
1060,52636,293,0.3895285,2.1046,0.8198016,-27.91396,1886.237,0.1207952,0.04288088
1218,52709,54,0.3048607,2.144933,0.6539056,-23.61081,3987.076,0.05502596,0.01521724
2268,53682,451,1.896562,1.358969,2.57737,-0.2428704,27.26945,0.05708254,0.02708664
2533,54585,612,0.6300117,1.699741,1.070857,-8.637259,873.853,0.1472984,0.05242494
2649,54212,215,1.036598,1.842654,1.910092,-8.841555,2140.768,0.1266571,0.05069542
2669,54086,451,0.5544354,1.979783,1.097662,-21.56355,9483.637,0.08929483,0.4328821
