mjd,mag,magerr
51464.20749,18.35,0.009
52197.23323,18.323,0.007
52231.11921,18.367,0.007
52557.22721,18.625,0.008
52578.12329,18.655,0.008
52929.15352,18.363,0.007
52934.13367,18.362,0.007
52936.1296,18.388,0.007
53243.31481,18.506,0.009
53270.19367,18.439,0.014
53272.24361,18.466,0.012
53288.17081,18.446,0.008
53294.19813,18.461,0.014
53302.16648,18.454,0.011
53312.12202,18.437,0.016
53314.12321,18.433,0.007
53616.22757,18.53,0.019
53623.21779,18.499,0.008
53626.204,18.479,0.011
53628.18887,18.458,0.016
53637.19048,18.448,0.008
53644.18295,18.478,0.02
53654.21755,18.478,0.009
53656.16514,18.449,0.016
53663.17844,18.488,0.01
53665.15642,18.48,0.023
53668.16805,18.504,0.008
53670.17291,18.506,0.01
53673.14089,18.497,0.007
53675.13778,18.493,0.007
53677.15881,18.523,0.008
53680.14548,18.52,0.007
53686.21218,18.56,0.023
53693.14738,18.583,0.012
53702.14306,18.57,0.014
53703.15218,18.58,0.016
53704.1307,18.575,0.008
53989.22675,18.726,0.021
53995.21602,18.728,0.016
53997.19441,18.713,0.026
54000.20217,18.724,0.015
54007.17898,18.725,0.02
54009.17608,18.725,0.015
54011.24058,18.739,0.019
54019.1908,18.708,0.014
54025.2396,18.698,0.014
54029.16993,18.727,0.019
54051.14655,18.7,0.018
54356.24809,18.766,0.013
54358.19316,18.722,0.016
54373.30043,18.734,0.02
54382.23535,18.721,0.014
54386.2381,18.753,0.027
54388.24237,18.717,0.014
54403.15615,18.684,0.014
54406.14997,18.677,0.016
54412.1529,18.671,0.015
