mjd,mag,magerr
51467.29967,18.861,0.012
51819.27566,18.704,0.009
52172.29123,18.812,0.009
52172.34139,18.796,0.009
52558.24092,18.76,0.009
52577.12842,18.757,0.009
52586.13189,18.766,0.009
52931.14258,18.774,0.009
52935.13954,18.765,0.009
53313.13274,18.803,0.009
53622.24199,18.78,0.01
53625.23795,18.773,0.01
53636.19699,18.777,0.01
53655.16899,18.797,0.017
53664.19395,18.775,0.017
53666.15755,18.793,0.008
53669.15319,18.787,0.009
53671.23798,18.866,0.012
53674.13743,18.791,0.009
53676.22692,18.806,0.01
53679.19881,18.781,0.01
53681.19032,18.783,0.009
53685.14936,18.854,0.02
53687.18771,18.825,0.02
53694.16325,18.793,0.023
53697.14734,18.902,0.087
53700.1463,18.837,0.01
53705.13297,18.802,0.01
53975.21799,18.84,0.018
53993.28578,18.879,0.022
53996.22469,18.875,0.016
53998.19336,18.888,0.02
54010.17882,18.881,0.02
54012.17164,18.907,0.02
54020.17766,18.909,0.014
54022.22691,18.868,0.019
54028.168,18.889,0.015
54030.17118,18.894,0.016
54032.16045,18.977,0.069
54035.24696,18.938,0.036
54037.15243,18.904,0.019
54040.16692,18.917,0.021
54050.15154,18.911,0.023
54053.15774,18.918,0.016
54057.12803,18.924,0.018
54059.15365,18.908,0.017
54061.16471,18.904,0.018
54062.15856,18.905,0.014
54068.14852,18.916,0.033
54357.19684,18.823,0.024
54365.1947,18.801,0.02
54385.24467,18.788,0.013
54387.24518,18.784,0.015
54392.23992,18.787,0.018
54402.23836,18.847,0.021
