mjd,mag,magerr
51819.23343,19.044,0.011
52172.24902,18.968,0.01
52558.19871,19.113,0.012
52576.11096,19.14,0.011
52577.0862,19.136,0.011
52930.09953,19.164,0.01
52931.10036,19.178,0.011
52935.09732,19.182,0.011
53313.09052,19.205,0.013
53622.19977,19.109,0.014
53625.19573,19.1,0.012
53634.14924,19.044,0.02
53636.15477,19.081,0.01
53655.12678,19.07,0.014
53657.21419,19.041,0.05
53664.15174,19.089,0.016
53666.11534,19.089,0.01
53669.11097,19.072,0.01
53674.09521,19.081,0.01
53676.18472,19.111,0.01
53685.10715,19.072,0.026
53687.1455,19.133,0.024
53697.10513,19.143,0.036
53700.10409,19.119,0.011
53705.09076,19.088,0.011
53975.17577,19.074,0.013
53996.18247,19.081,0.014
53998.15111,19.091,0.014
54005.18838,19.088,0.016
54010.13658,19.091,0.017
54012.12943,19.06,0.021
54020.13541,19.079,0.013
54028.12579,19.039,0.015
54030.12897,19.076,0.017
54032.11823,19.108,0.018
54034.18847,19.043,0.016
54037.11021,19.089,0.016
54040.1247,19.097,0.022
54050.10933,19.075,0.013
54053.11548,19.067,0.014
54057.08581,19.102,0.015
54059.11144,19.097,0.016
54061.1225,19.085,0.02
54062.11633,19.074,0.015
54068.10636,19.046,0.027
54357.15463,19.109,0.017
54365.15249,19.095,0.021
54385.20245,19.132,0.017
54387.20305,19.092,0.015
54390.20599,19.104,0.016
54392.19769,19.1,0.019
54402.19616,19.097,0.027
