mjd,mag,magerr
51075.38195,20.255,0.023
51818.3516,20.093,0.022
52170.40262,20.032,0.02
52173.316,20.021,0.024
52196.40115,20.143,0.022
52207.36791,20.118,0.021
52224.29612,20.17,0.021
52231.28153,20.107,0.02
52234.25262,20.137,0.021
52282.1426,20.158,0.025
52287.09647,20.166,0.022
52552.41517,20.079,0.023
52557.38953,20.111,0.021
52908.36409,20.233,0.023
52912.34353,20.204,0.024
52934.296,20.224,0.025
52936.29192,20.279,0.021
53270.356,20.179,0.025
53272.40592,20.179,0.026
53286.37464,20.193,0.025
53288.33313,20.189,0.02
53294.38081,20.197,0.026
53296.32785,20.154,0.03
53298.37759,20.229,0.025
53302.3288,20.139,0.042
53312.28436,20.175,0.037
53314.28553,20.136,0.027
53319.27333,20.142,0.033
53616.38989,20.126,0.028
53628.35118,20.192,0.045
53637.3528,20.313,0.04
53639.39818,20.241,0.024
53641.39734,20.245,0.024
53657.35623,20.078,0.059
53663.34077,20.253,0.045
53666.41086,20.307,0.04
53668.33037,20.178,0.032
53669.418,20.235,0.041
53670.33523,20.198,0.028
53673.30321,20.248,0.022
53675.3001,20.151,0.023
53677.32113,20.217,0.022
53680.3078,20.241,0.023
53693.30969,20.153,0.065
53698.30708,20.25,0.036
53704.29301,20.31,0.028
53989.38913,20.366,0.059
53995.42783,20.419,0.031
54000.36451,20.312,0.043
54007.41466,20.446,0.032
54009.33842,20.355,0.026
54011.4029,20.439,0.028
54025.40193,20.402,0.033
54029.33228,20.361,0.026
54346.39571,20.446,0.057
54348.39968,20.463,0.033
54358.35546,20.436,0.038
54365.38853,20.486,0.025
54384.41475,20.485,0.03
54386.40043,20.537,0.032
54388.40472,20.547,0.033
54392.40225,20.485,0.052
54403.3185,20.303,0.128
54404.37607,20.485,0.064
54405.374,20.438,0.045
54406.31231,20.488,0.035
54412.33814,20.531,0.037
