mjd,mag,magerr
51075.32182,20.609,0.028
51819.37666,20.501,0.027
52196.32237,20.365,0.023
52196.34103,20.304,0.027
52197.33547,20.427,0.022
52225.18563,20.325,0.023
52231.22141,20.354,0.022
52253.20758,20.26,0.025
52557.32941,20.392,0.026
52558.34194,20.408,0.022
52577.22944,20.341,0.022
52578.2255,20.335,0.023
52586.23292,20.368,0.022
52908.30398,20.443,0.025
52910.3134,20.466,0.025
52931.24361,20.479,0.031
52935.24057,20.478,0.023
52936.23181,20.45,0.026
52959.1839,20.362,0.021
52962.15733,20.307,0.023
52963.16364,20.381,0.02
53270.29594,20.585,0.028
53272.34581,20.544,0.033
53286.31453,20.492,0.034
53288.27302,20.547,0.03
53298.31748,20.497,0.027
53302.26869,20.467,0.052
53312.22439,20.434,0.036
53314.22542,20.454,0.026
53352.13471,20.437,0.021
53616.32978,20.104,0.027
53622.34301,20.147,0.024
53626.30621,20.117,0.022
53628.29107,20.097,0.05
53634.29248,20.144,0.062
53637.29269,20.131,0.035
53638.33382,20.206,0.023
53639.33806,20.213,0.022
53654.31976,20.112,0.02
53655.27002,20.048,0.036
53663.28066,20.192,0.039
53664.29498,20.216,0.045
53666.35076,20.268,0.038
53669.25422,20.239,0.019
53670.27511,20.179,0.021
53671.33899,20.237,0.027
53673.2431,20.147,0.02
53674.23846,20.16,0.02
53675.23999,20.168,0.022
53676.32793,20.187,0.019
53677.26102,20.168,0.02
53679.29983,20.187,0.024
53680.24768,20.186,0.021
53681.29134,20.187,0.024
53685.25039,20.142,0.071
53697.24836,20.286,0.023
53698.24697,20.178,0.022
53700.24732,20.16,0.024
53704.2329,20.197,0.022
53705.23399,20.178,0.021
53974.32558,20.385,0.021
53975.31902,20.399,0.023
53989.32898,20.329,0.054
53990.33181,20.361,0.046
53994.34206,20.316,0.028
53996.32573,20.347,0.049
53997.42459,20.387,0.028
53998.29437,20.405,0.019
54000.30443,20.349,0.024
54005.32459,20.397,0.02
54007.35453,20.406,0.026
54009.27835,20.414,0.035
54010.27984,20.39,0.025
54011.34286,20.419,0.033
54012.2727,20.302,0.044
54020.27866,20.393,0.033
54024.36026,20.32,0.035
54025.34187,20.417,0.031
54029.27215,20.355,0.047
54030.27225,20.442,0.022
54035.348,20.389,0.029
54037.25346,20.421,0.024
54040.26802,20.422,0.052
54047.29851,20.424,0.118
54049.29439,20.494,0.074
54053.25872,20.369,0.025
54059.25467,20.354,0.099
54062.25957,20.437,0.044
54068.24014,20.313,0.075
54348.33954,20.283,0.026
54357.29787,20.264,0.017
54358.2954,20.203,0.027
54359.28943,20.194,0.038
54362.34768,20.244,0.022
54365.32845,20.226,0.024
54381.34805,20.214,0.023
54382.32796,20.267,0.035
54384.35463,20.241,0.026
54385.34569,20.286,0.021
54386.34031,20.209,0.026
54387.34622,20.191,0.022
54388.34461,20.414,0.028
54403.25853,20.211,0.052
54404.31595,20.249,0.038
54405.31388,20.22,0.034
54406.25218,20.15,0.021
54412.25524,20.206,0.022
