time,cont,conterr
-2.0,1.2468619246862183,0.028
-1.1094043884592137,-2.0,0.019
-1.041283583419926,-1.352859135285931,0.021
-0.6862785083757255,2.0,0.03
-0.686190609108869,1.927475592747569,0.029
-0.6839095710505243,1.6429567642956937,0.031
-0.6227998272533537,0.7726638772663859,0.023
-0.6216426529259547,0.42119944211994653,0.024
-0.6108649854123342,0.8284518828451954,0.028
-0.5785440885144864,0.18688981868899335,0.023
-0.5523317273667732,-0.326359832635988,0.026
-0.5475212080700533,0.002789400278943255,0.024
-0.546323206116081,-0.13668061366805095,0.023
-0.23073825698686878,-0.8451882845188166,0.022
-0.22948443649916128,-0.19246861924686054,0.021
-0.22352168630228753,0.04741980474197938,0.021
-0.22230797182544015,-0.1701534170153527,0.021
-0.1984879297904838,0.09205020920501505,0.02
-0.190141425172339,0.11436541143654289,0.023
-0.19007644020112147,0.23709902370991642,0.02
0.19719054624918586,0.7726638772664058,0.025
0.19843620840376452,0.6331938633193914,0.024
0.1995992359695844,0.2705718270571982,0.025
0.20196068862948335,0.8675034867503446,0.027
0.228275051716595,1.140864714086486,0.029
0.22947936601001384,1.542538354253848,0.029
0.23066756142220113,1.3193863319386492,0.025
0.2629506825765464,1.8326359832636108,0.028
0.6311092789423984,-0.18131101813108685,0.019
0.6335664667527401,-0.3821478382147778,0.022
0.6503107334799418,0.008368200836810669,0.027
0.652658375949418,-0.0585774058577333,0.022
0.6599077010349474,-0.0585774058577333,0.022
0.6622416040371335,-0.16457461645744575,0.025
0.664698626427267,-0.09762900976290201,0.023
0.6694349439700131,-0.23709902370989644,0.035
0.6813686434525996,-0.527196652719679,0.039
0.6837674427224067,-0.08089260808926113,0.031
0.6897463010122342,0.17015341701535247,0.032
0.7279520627565006,0.6387726638772784,0.028
1.045899083073357,0.22594142259414252,0.026
1.0531071262260778,0.15341701534169205,0.021
1.05904918571061,0.14783821478382464,0.025
1.060237050282372,-0.3654114365411367,0.032
1.0674309224368135,-0.30962343096232714,0.089
1.072275261776285,-0.24825662482567035,0.039
1.0734790534377319,0.22036262203625556,0.03
1.074629547425642,0.4100418410041726,0.03
1.0758754469222587,0.24825662482565036,0.03
1.0782765512867822,0.27615062761506515,0.029
1.0818953402132752,-0.15899581589957879,0.028
1.0950053176605063,-0.23152022315200949,0.031
1.095060654317979,-0.04741980474197938,0.025
1.10217897978018,-1.397489539748947,0.057
1.1022736888458229,-0.6052998605299766,0.083
1.1033948375276195,-1.5760111576011298,0.126
1.10454996927499,-1.15202231520224,0.04
1.1046710029298041,-0.07531380753137418,0.055
1.1081600005197525,-1.112970711297091,0.036
1.108253448555943,-0.3654114365411567,0.044
1.1093394730124309,-0.923291492329154,0.029
1.1094637107848593,-0.5550906555090738,0.045
1.1105632097965539,-0.46025104602511524,0.036
1.1106579991749101,-0.3096234309623469,0.036
1.1118384498045022,-0.13110181311018376,0.026
1.1141209298955848,-0.560669456066941,0.02
1.1153140651389326,-0.16457461645744575,0.028
1.1165145927479023,-0.4267782426778335,0.023
1.1178186818013214,0.11994421199442984,0.029
1.1178567080725448,-0.9344490934449081,0.061
1.1213810959985744,-0.2538354253835373,0.025
1.122517305111976,-0.722454672245483,0.021
1.1237683182508453,-0.7168758716875763,0.025
1.1261835792292767,-0.8675034867503444,0.04
1.127318257606353,-0.8898186889818722,0.037
1.1297088062433502,-0.7949790794979137,0.053
1.1308440048550121,-0.9958158995815849,0.084
1.1381026342281961,-0.025104602510471308,0.094
