time,cont,conterr
1.0933796498025434,-0.9643527204502644,0.021
1.1005661975185879,-1.3996247654784075,0.023
1.1006610779208512,-1.3545966228893143,0.028
1.1017842394380697,-1.534709193245768,0.02
1.1029414474698878,-1.0919324577860956,0.02
1.1030626973492246,-1.3095684803001673,0.02
1.104252908356517,-1.234521575984985,0.017
1.1065579625893216,-1.3470919324577586,0.015
1.106651579696805,-1.1819887429643625,0.019
1.1077395514897135,-1.3921200750468787,0.015
1.1089654914032172,-1.106941838649127,0.015
1.1090604522624594,-1.594746716697919,0.015
1.110243022257754,-1.2945590994371363,0.014
1.1125296002040943,-1.4296435272044965,0.011
1.1137248763989795,-1.602251407129448,0.012
1.114927563042567,-1.3095684803001673,0.012
1.1162339959679737,-1.594746716697919,0.012
1.119802808500439,-1.3395872420262562,0.013
1.1209410599055794,-1.2720450281425761,0.011
1.1221943191689348,-1.4896810506566478,0.013
1.1257506356506473,-1.264540337711074,0.023
1.128145481081103,-1.3846153846153764,0.023
1.129282714164988,-1.9549718574108799,0.031
1.1294152388300813,-0.8292682926829307,0.043
1.1365543865734833,-1.4221388367729677,0.026
1.137772898025529,-1.2945590994371363,0.023
1.1401659097572052,-1.3170731707316963,0.015
1.1413563237082465,-1.2870544090056073,0.015
1.1437845107540392,-1.4146341463414653,0.014
1.1449576192478905,-1.692307692307688,0.012
1.1497437135614401,-1.4071294559099097,0.013
1.1509458658265386,-1.49718574108815,0.013
1.4752776183851273,-1.4671669793620876,0.027
1.492101630562086,-1.257035647279545,0.021
1.4981213706470706,-1.722326454033777,0.016
1.5005035675187641,-1.8574108818011374,0.022
1.5017366116640836,-1.7373358348968084,0.019
1.5052813003099823,-1.6772983114446571,0.023
1.5113270111896568,-1.4521575984990567,0.016
1.5137474659588057,-1.594746716697919,0.015
1.516057640618321,-1.4521575984990567,0.015
1.5161470043131913,-1.5422138836772967,0.017
1.5172603909069826,-1.594746716697919,0.02
1.5185368602096379,-1.56472795497183,0.021
1.519653481894804,-1.5121951219512078,0.021
1.5197530107895205,-1.4671669793620876,0.023
1.5281375918532953,-1.4071294559099363,0.02
1.529305973799417,-1.4446529080675277,0.029
1.5341688360864811,-1.7973733583489595,0.018
1.535347622201709,-1.4596622889305588,0.035
1.5389581558845893,-1.7148217636022483,0.028
1.5413063338612374,-1.602251407129448,0.018
1.5473634696329848,-1.4071294559099363,0.022
1.5496516375054497,-1.6697936210131281,0.019
1.5532716086727456,-1.8649155722326398,0.017
1.5545150990169372,-1.609756097560977,0.02
1.564110979224401,-1.8649155722326398,0.022
1.5652640575312011,-1.2870544090056073,0.032
1.5724761329280827,-1.8649155722326398,0.021
1.576071808487196,-1.5647279549718567,0.019
1.5784868198008253,-1.4071294559099363,0.028
1.5796802202671647,-1.4071294559099363,0.023
1.5820776799492555,-1.549718574108799,0.024
1.5868620114142056,-1.4446529080675277,0.017
1.9208131112015732,-1.654784240150097,0.022
1.923219512416812,-1.9924953095684979,0.016
1.933977137469435,-1.8949343339587286,0.02
1.935174995492988,-1.97748592870544,0.025
1.9400412309692343,-1.8949343339587286,0.017
1.9436206698281442,-1.9099437148217597,0.029
1.9568472411956965,-1.5947467166979457,0.022
1.962857741936603,-2.0,0.022
1.9640344457769916,-1.7298311444652794,0.03
1.9676583845544795,-1.557223264540328,0.02
1.9688528261582343,-1.5422138836772967,0.02
1.9700607016770189,-1.8048780487804885,0.016
1.9712596969060368,-1.5196998123827368,0.023
1.9736541004235004,-1.9549718574108799,0.022
1.9748650633290286,-1.8424015009380796,0.02
1.9760602386524684,-1.4371482176359986,0.027
1.988065271223753,-1.56472795497183,0.03
1.9904390357229351,-1.249530956848016,0.034
1.9927640300790044,-1.9174484052532887,0.019
1.9963724202436648,-1.7973733583489595,0.022
2.0,-1.4971857410881766,0.021
